WKT,名前,説明
POINT (130.4407184 33.5297330),博多総合基地,出08:30
POINT (130.4207274 33.5897275),博多駅,着08:39 出08:42
POINT (130.8825758 33.8869679),小倉駅,着08:59 出09:00
POINT (130.949042 34.0069198),新下関駅,着09:09 出09:10
POINT (131.160592 34.054049),厚狭駅,着09:21 出09:24
POINT (131.3963755 34.093533),新山口駅,着09:35 出09:36
POINT (131.8029339 34.0511516),徳山駅,着09:51 出09:52
POINT (132.149373 34.1646553),新岩国駅,着10:04 出10:07
POINT (132.4753786 34.397667),広島駅,着10:22 出10:23
POINT (132.759701 34.3893015),東広島駅,着10:32 出10:33
POINT (133.0831972 34.4007078),三原駅,着10:45 出10:50
POINT (133.1903 34.430112),新尾道駅,着10:57 出11:05
POINT (133.3625422 34.4889443),福山駅,着11:15 出11:28
POINT (133.6787011 34.5649655),新倉敷駅,着11:35 出11:36
POINT (133.9177335 34.6661212),岡山駅,着11:47 出11:48
POINT (134.474118 34.817956),相生駅,着11:59 出12:06
POINT (134.6905326 34.8267967),姫路駅,着12:14 出12:18
POINT (134.9597629 34.6662701),西明石駅,着12:28 出12:29
POINT (135.1954675 34.7062884),新神戸駅,着12:35 出12:36
POINT (135.5002547 34.7334658),新大阪駅,着12:53 出13:00
POINT (135.5788918 34.7833697),鳥飼車両基地,着13:05 出15:11
POINT (135.5002547 34.7334658),新大阪駅,着15:18 出15:33
POINT (135.7587667 34.985849),京都駅,着15:48 出15:49
POINT (136.2898448 35.3147704),米原駅,着16:11 出16:14
POINT (136.685295 35.315841),岐阜羽島駅,着16:30 出16:37
POINT (136.8815369 35.170915),名古屋駅,着16:47 出16:48
POINT (137.061997 34.970028),三河安城駅,着17:03 出17:04
POINT (137.3819213 34.7629201),豊橋駅,着17:18 出17:19
POINT (137.7344697 34.704171),浜松駅,着17:31 出17:32
POINT (138.0149326 34.7697465),掛川駅,着17:44 出17:45
POINT (138.3889005 34.972187),静岡駅,着18:01 出18:05
POINT (138.663603 35.141965),新富士駅,着18:17 出18:23
POINT (138.9111261 35.1262994),三島駅,着18:34 出18:38
POINT (139.0778841 35.1038422),熱海駅,着18:45 出18:46
POINT (139.1553932 35.2564449),小田原駅,着18:55 出18:59
POINT (139.6175553 35.5076585),新横浜駅,着19:15 出19:16
POINT (139.7387597 35.6284713),品川駅,着19:27 出19:28
POINT (139.7671248 35.6812362),東京駅,着19:35 出19:44
POINT (139.7557108 35.5989808),大井車両基地,着19:55
