WKT,名前,説明
POINT (130.4407184 33.5297330),博多総合基地,出10:26
POINT (130.4207274 33.5897275),博多駅,着10:35 出10:40
POINT (130.8825758 33.8869679),小倉駅,着10:57 出10:58
POINT (130.949042 34.0069198),新下関駅,着11:04 出11:04
POINT (131.160592 34.054049),厚狭駅,着11:11 出11:11
POINT (131.3963755 34.093533),新山口駅,着11:18 出11:18
POINT (131.8029339 34.0511516),徳山駅,着11:28 出11:28
POINT (132.149373 34.1646553),新岩国駅,着11:37 出11:37
POINT (132.4753786 34.397667),広島駅,着11:49 出11:50
POINT (132.759701 34.3893015),東広島駅,着11:59 出11:59
POINT (133.0831972 34.4007078),三原駅,着12:05 出12:05
POINT (133.1903 34.430112),新尾道駅,着12:10 出12:10
POINT (133.3625422 34.4889443),福山駅,着12:18 出12:18
POINT (133.6787011 34.5649655),新倉敷駅,着12:21 出12:21
POINT (133.9177335 34.6661212),岡山駅,着12:29 出12:30
POINT (134.474118 34.817956),相生駅,着12:46 出12:46
POINT (134.6905326 34.8267967),姫路駅,着12:49 出12:49
POINT (134.9597629 34.6662701),西明石駅,着12:56 出12:56
POINT (135.1954675 34.7062884),新神戸駅,着13:06 出13:07
POINT (135.5002547 34.7334658),新大阪駅,着13:15 出13:22
POINT (135.5788918 34.7833697),鳥飼車両基地,着13:30 出14:55
POINT (135.5002547 34.7334658),新大阪駅,着15:02 出15:21
POINT (135.7587667 34.985849),京都駅,着15:35 出15:36
POINT (136.2898448 35.3147704),米原駅,着15:52 出15:52
POINT (136.685295 35.315841),岐阜羽島駅,着16:02 出16:02
POINT (136.8815369 35.170915),名古屋駅,着16:10 出16:11
POINT (137.061997 34.970028),三河安城駅,着16:19 出16:19
POINT (137.3819213 34.7629201),豊橋駅,着16:27 出16:27
POINT (137.7344697 34.704171),浜松駅,着16:36 出16:36
POINT (138.0149326 34.7697465),掛川駅,着16:44 出16:44
POINT (138.3889005 34.972187),静岡駅,着16:55 出16:55
POINT (138.663603 35.141965),新富士駅,着17:03 出17:03
POINT (138.9111261 35.1262994),三島駅,着17:09 出17:09
POINT (139.0778841 35.1038422),熱海駅,着17:15 出17:15
POINT (139.1553932 35.2564449),小田原駅,着17:21 出17:21
POINT (139.6175553 35.5076585),新横浜駅,着17:32 出17:34
POINT (139.7387597 35.6284713),品川駅,着17:44 出17:45
POINT (139.7671248 35.6812362),東京駅,着17:53 出18:07
POINT (139.7557108 35.5989808),大井車両基地,着18:19
