WKT,名前,説明
"POINT (139.7557108 35.5989808)",大井車両基地,出11:31
"POINT (139.7671248 35.6812362)",東京駅,着11:43 出11:51
"POINT (139.7387597 35.6284713)",品川駅,着11:58 出11:59
"POINT (139.6175553 35.5076585)",新横浜駅,着12:09 出12:10
"POINT (139.1553932 35.2564449)",小田原駅,着12:23 出12:23
"POINT (139.0778841 35.1038422)",熱海駅,着12:28 出12:28
"POINT (138.9111261 35.1262994)",三島駅,着12:34 出12:34
"POINT (138.663603 35.141965)",新富士駅,着12:42 出12:42
"POINT (138.3889005 34.972187)",静岡駅,着12:49 出12:49
"POINT (138.0149326 34.7697465)",掛川駅,着12:59 出12:59
"POINT (137.7344697 34.704171)",浜松駅,着13:07 出13:07
"POINT (137.3819213 34.7629201)",豊橋駅,着13:16 出13:16
"POINT (137.061997 34.970028)",三河安城駅,着13:26 出13:26
"POINT (136.8815369 35.170915)",名古屋駅,着13:34 出13:35
"POINT (136.685295 35.315841)",岐阜羽島駅,着13:43 出13:43
"POINT (136.2898448 35.3147704)",米原駅,着13:53 出13:53
"POINT (135.7587667 34.985849)",京都駅,着14:09 出14:11
"POINT (135.5002547 34.7334658)",新大阪駅,着14:24 出14:36
"POINT (135.5788918 34.7833697)",鳥飼車両基地,着14:42 出16:56
"POINT (135.5002547 34.7334658)",新大阪駅,着17:02 出17:11
"POINT (135.1954675 34.7062884)",新神戸駅,着17:23 出17:24
"POINT (134.9597629 34.6662701)",西明石駅,着17:31 出17:31
"POINT (134.6905326 34.8267967)",姫路駅,着17:39 出17:39
"POINT (134.474118 34.817956)",相生駅,着17:50 出17:50
"POINT (133.9177335 34.6661212)",岡山駅,着18:01 出18:02
"POINT (133.6787011 34.5649655)",新倉敷駅,着18:09 出18:09
"POINT (133.3625422 34.4889443)",福山駅,着18:15 出18:15
"POINT (133.1903 34.430112)",新尾道駅,着18:20 出18:20
"POINT (133.0831972 34.4007078)",三原駅,着18:24 出18:24
"POINT (132.759701 34.3893015)",東広島駅,着18:31 出18:31
"POINT (132.4753786 34.397667)",広島駅,着18:39 出18:40
"POINT (132.149373 34.1646553)",新岩国駅,着18:50 出18:50
"POINT (131.8029339 34.0511516)",徳山駅,着18:59 出18:59
"POINT (131.3963755 34.093533)",新山口駅,着19:10 出19:10
"POINT (131.160592 34.054049)",厚狭駅,着19:17 出19:17
"POINT (130.949042 34.0069198)",新下関駅,着19:24 出19:24
"POINT (130.8825758 33.8869679)",小倉駅,着19:30 出19:31
"POINT (130.4207274 33.5897275)",博多駅,着19:47 出19:54
"POINT (130.4407184 33.5297330)",博多総合基地,着20:03
